                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2196,                 2.8815,                 1.2336,                0.68179,                0.69452,                0.75564,                0.50432,                0.99078,                 1.1702,                0.98852,               0.070098,              0.0033224,              0.0033224
                      1,                 1.0654,                 1.2784,                  1.097,                0.78349,                 0.7281,                 0.8259,                0.56914,                 1.0323,                 1.1553,                 1.0073,               0.039769,              0.0063263,              0.0063263
                      2,                 1.1229,                 1.2342,                 1.1163,                0.76418,                0.73427,                0.81348,                0.53516,                 1.1025,                  1.117,                 1.0736,              0.0091091,              0.0090002,              0.0090002
                      3,                 1.1633,                 1.2591,                 1.1537,                0.80832,                0.79771,                0.85886,                0.56657,                 1.1129,                 1.0209,                 1.0568,               0.008515,               0.008515,               0.008515
                      4,                 1.1379,                 1.1869,                 1.1356,                0.88007,                0.81479,                0.90861,                0.62939,                 1.0069,                0.91225,                 1.0142,               0.008515,               0.008515,               0.008515
                      5,                 1.1014,                   1.09,                 1.1135,                0.82142,                0.68511,                 0.7928,                0.53946,                 1.0655,                 1.1255,                 1.0618,                0.00802,                0.00802,                0.00802
                      6,                 1.0696,                 1.0293,                 1.1051,                0.88596,                 0.8754,                0.93925,                 0.6602,                0.97845,                0.79835,                0.98299,               0.007525,               0.007525,               0.007525
                      7,                 1.0297,                0.96536,                 1.0786,                0.91908,                0.87996,                0.94781,                0.68806,                0.94368,                0.74302,                0.98424,                0.00703,                0.00703,                0.00703
                      8,                 1.0051,                0.92591,                 1.0668,                0.92294,                0.89623,                0.95936,                0.71509,                0.88677,                 0.6706,                0.94275,               0.006535,               0.006535,               0.006535
                      9,                0.97283,                0.87315,                 1.0568,                0.93137,                0.90243,                0.96399,                0.72217,                0.88281,                0.64805,                0.94089,                0.00604,                0.00604,                0.00604
                     10,                0.92775,                0.72321,                 1.0303,                0.91087,                0.87014,                0.94192,                0.69349,                0.91851,                0.71668,                0.96796,               0.005545,               0.005545,               0.005545
                     11,                0.90861,                0.68446,                 1.0152,                0.90201,                0.92417,                0.96062,                0.71516,                0.89801,                0.66271,                 0.9528,                0.00505,                0.00505,                0.00505
                     12,                0.88899,                0.65197,                 1.0036,                 0.9297,                0.91526,                0.96724,                0.73771,                0.86725,                0.59723,                0.92965,               0.004555,               0.004555,               0.004555
                     13,                0.86045,                0.61291,                0.99278,                0.95856,                 0.9331,                0.98026,                0.74327,                0.85913,                0.55958,                0.91045,                0.00406,                0.00406,                0.00406
                     14,                0.82836,                0.58683,                0.97661,                0.94997,                0.95354,                0.97824,                0.75606,                  0.822,                0.54326,                0.91585,               0.003565,               0.003565,               0.003565
                     15,                 0.8074,                0.54641,                 0.9692,                 0.9523,                0.93808,                0.97931,                0.77079,                0.79981,                0.52799,                0.89908,                0.00307,                0.00307,                0.00307
                     16,                0.77726,                0.52231,                0.95538,                0.96197,                0.94818,                0.98272,                0.77633,                0.78333,                0.49473,                0.88349,               0.002575,               0.002575,               0.002575
                     17,                0.75096,                0.48596,                0.94088,                0.97431,                0.95528,                0.98676,                 0.7987,                0.74627,                0.44612,                0.87484,                0.00208,                0.00208,                0.00208
                     18,                0.72859,                0.46212,                0.93083,                0.97349,                0.95431,                0.98876,                0.80419,                0.74444,                 0.4387,                0.86813,               0.001585,               0.001585,               0.001585
                     19,                0.70062,                0.44275,                0.92212,                0.97245,                0.96853,                0.98964,                0.81348,                0.70982,                0.41975,                0.85565,                0.00109,                0.00109,                0.00109
